Start Date: 2015-01-22 00:00
End Date: 2015-04-17 07:00
Days: Mon Tue Wed Thu Fri Sat
Hours: 19 20 21 22 23 00 01 02 03 04 05 06 07

Daintree Name,PH PV Array Backfeed (Solar Generation),02 .Teller Line Computer 1,
Energy (kWh),73.338,56.866
