Energy Usage and Saving Report
Report Time: 04/22/2015 12:44 PM,Time Zone: America/New_York
Data from 04/17/2015 12:00 AM to 04/22/2015 12:00 AM

Lighting Power Meters
Energy Usage (kWh)
No Data Available

PE AHU-3 (Open Area Drive Thru Teller Side)
Energy Usage (kWh)
Date Time,Energy Usage
17/04/2015 00:00:00,0.11
17/04/2015 01:00:00,0.117
17/04/2015 02:00:00,0.113
17/04/2015 03:00:00,0.11
17/04/2015 04:00:00,0.117
17/04/2015 05:00:00,0.112
17/04/2015 06:00:00,0.11
17/04/2015 07:00:00,0.142
17/04/2015 08:00:00,0.159
17/04/2015 09:00:00,0.14
17/04/2015 10:00:00,0.148
17/04/2015 11:00:00,0.146
17/04/2015 12:00:00,0.133
17/04/2015 13:00:00,0.14
17/04/2015 14:00:00,0.151
17/04/2015 15:00:00,0.143
17/04/2015 16:00:00,0.148
17/04/2015 17:00:00,0.142
17/04/2015 18:00:00,0.131
17/04/2015 19:00:00,0.118
17/04/2015 20:00:00,0.11
17/04/2015 21:00:00,0.117
17/04/2015 22:00:00,0.105
17/04/2015 23:00:00,0.118
18/04/2015 00:00:00,0.111
18/04/2015 01:00:00,0.115
18/04/2015 02:00:00,0.115
18/04/2015 03:00:00,0.115
18/04/2015 04:00:00,0.105
18/04/2015 05:00:00,0.119
18/04/2015 06:00:00,0.11
18/04/2015 07:00:00,0.11
18/04/2015 08:00:00,0.13
18/04/2015 09:00:00,0.131
18/04/2015 10:00:00,0.16
18/04/2015 11:00:00,0.131
18/04/2015 12:00:00,0.138
18/04/2015 13:00:00,0.16
18/04/2015 14:00:00,0.143
18/04/2015 15:00:00,0.152
18/04/2015 16:00:00,0.145
18/04/2015 17:00:00,0.11
18/04/2015 18:00:00,0.11
18/04/2015 19:00:00,0.112
18/04/2015 20:00:00,0.116
18/04/2015 21:00:00,0.117
18/04/2015 22:00:00,0.114
18/04/2015 23:00:00,0.112
19/04/2015 00:00:00,0.11
19/04/2015 01:00:00,0.111
19/04/2015 02:00:00,0.114
19/04/2015 03:00:00,0.115
19/04/2015 04:00:00,0.11
19/04/2015 05:00:00,0.11
19/04/2015 06:00:00,0.113
19/04/2015 07:00:00,0.114
19/04/2015 08:00:00,0.113
19/04/2015 09:00:00,0.11
19/04/2015 10:00:00,0.108
19/04/2015 11:00:00,0.106
19/04/2015 12:00:00,0.113
19/04/2015 13:00:00,0.113
19/04/2015 14:00:00,0.107
