Energy Usage and Saving Report
Report Time: 04/22/2015 12:45 PM,Time Zone: America/New_York
Data from 04/17/2015 12:00 AM to 04/22/2015 12:00 AM

PH PV Array Backfeed (Solar Generation)
Energy Generated (kWh)
Date Time,Energy Generated
17/04/2015 00:00:00,0.01
17/04/2015 01:00:00,0.01
17/04/2015 02:00:00,0.01
17/04/2015 03:00:00,0.01
17/04/2015 04:00:00,0
17/04/2015 05:00:00,0.01
17/04/2015 06:00:00,0.01
17/04/2015 07:00:00,1.036
17/04/2015 08:00:00,4.814
17/04/2015 09:00:00,13.455
17/04/2015 10:00:00,21.432
17/04/2015 11:00:00,19.713
17/04/2015 12:00:00,19.274
17/04/2015 13:00:00,21.444
17/04/2015 14:00:00,17.475
17/04/2015 15:00:00,12.637
17/04/2015 16:00:00,10.3
17/04/2015 17:00:00,4.19
17/04/2015 18:00:00,0.833
17/04/2015 19:00:00,0.666
17/04/2015 20:00:00,0.01
17/04/2015 21:00:00,0.01
17/04/2015 22:00:00,0.01
17/04/2015 23:00:00,0
18/04/2015 00:00:00,0.01
18/04/2015 01:00:00,0.01
18/04/2015 02:00:00,0.01
18/04/2015 03:00:00,0.01
18/04/2015 04:00:00,0.01
18/04/2015 05:00:00,0.01
18/04/2015 06:00:00,0
18/04/2015 07:00:00,1.459
18/04/2015 08:00:00,6.899
18/04/2015 09:00:00,15.177
18/04/2015 10:00:00,22.361
18/04/2015 11:00:00,22.446
18/04/2015 12:00:00,22.832
18/04/2015 13:00:00,25.186
18/04/2015 14:00:00,24.162
18/04/2015 15:00:00,7.647
18/04/2015 16:00:00,9.718
18/04/2015 17:00:00,5.238
18/04/2015 18:00:00,1.246
18/04/2015 19:00:00,0.368
18/04/2015 20:00:00,0
18/04/2015 21:00:00,0.01
18/04/2015 22:00:00,0.01
18/04/2015 23:00:00,0.01
19/04/2015 00:00:00,0.01
19/04/2015 01:00:00,0.01
19/04/2015 02:00:00,0.01
19/04/2015 03:00:00,0
19/04/2015 04:00:00,0.01
19/04/2015 05:00:00,0.01
19/04/2015 06:00:00,0.01
19/04/2015 07:00:00,1.519
19/04/2015 08:00:00,7.081
19/04/2015 09:00:00,15.157
19/04/2015 10:00:00,21.351
19/04/2015 11:00:00,24.519
19/04/2015 12:00:00,25.732
19/04/2015 13:00:00,28.203
19/04/2015 14:00:00,28.007
19/04/2015 15:00:00,24.736
19/04/2015 16:00:00,18.677
19/04/2015 17:00:00,8.103
19/04/2015 18:00:00,3.618
19/04/2015 19:00:00,0.327
19/04/2015 20:00:00,0.01
19/04/2015 21:00:00,0
19/04/2015 22:00:00,0.01
19/04/2015 23:00:00,0.01
20/04/2015 00:00:00,0.01
20/04/2015 01:00:00,0.01
20/04/2015 02:00:00,0.01
20/04/2015 03:00:00,0.01
20/04/2015 04:00:00,0
20/04/2015 05:00:00,0.01
20/04/2015 06:00:00,0.01
20/04/2015 07:00:00,1.165
20/04/2015 08:00:00,5.441
20/04/2015 09:00:00,11.285
20/04/2015 10:00:00,18.725
20/04/2015 11:00:00,23.913
20/04/2015 12:00:00,10.37
20/04/2015 13:00:00,10.094
20/04/2015 14:00:00,18.11
20/04/2015 15:00:00,8.419
20/04/2015 16:00:00,2.356
20/04/2015 17:00:00,5.032
20/04/2015 18:00:00,2.715
20/04/2015 19:00:00,0.453
20/04/2015 20:00:00,0.01
20/04/2015 21:00:00,0.01
20/04/2015 22:00:00,0.01
20/04/2015 23:00:00,0.01
21/04/2015 00:00:00,0.01
21/04/2015 01:00:00,0.001
21/04/2015 02:00:00,0.009
21/04/2015 03:00:00,0.01
21/04/2015 04:00:00,0.01
21/04/2015 05:00:00,0.01
21/04/2015 06:00:00,0.01
21/04/2015 07:00:00,0.17
21/04/2015 08:00:00,0.692
21/04/2015 09:00:00,5.398
21/04/2015 10:00:00,6.831
21/04/2015 11:00:00,4.707
21/04/2015 12:00:00,4.474
21/04/2015 13:00:00,19.217
21/04/2015 14:00:00,11.415
21/04/2015 15:00:00,12.207
21/04/2015 16:00:00,9.015
21/04/2015 17:00:00,2.269
21/04/2015 18:00:00,0.834
21/04/2015 19:00:00,0.121
21/04/2015 20:00:00,0.01
21/04/2015 21:00:00,0.01
21/04/2015 22:00:00,0
21/04/2015 23:00:00,0
22/04/2015 00:00:00,0












    




